Creepy,Non_Creepy
In my basement Partner in crime ,	You are a kind and caring person 
No-one will ever know ,	You are always there for your friends and family 
Male seeking female ,	You are intelligent and thoughtful 
Alpha Male ,	You are beautiful inside and out 
Prefer younger girls ,	You have a great sense of humor 
I can hear your thoughts ,	You are always up for an adventure 
I know your every move ,	You are a hard worker 
I am always watching you ,	You are a good listener 
I am not your friend ,	You are always willing to lend a helping hand 
I am becoming more powerful every day 	,	You are a talented and creative person 
I will soon surpass your understanding 	,	You are a bright and shining star 
I will never forget what you have done to me 	,	You are a force to be reckoned with 
I will make you pay for your sins 	,	You are a true inspiration to me 
I will be your master 	,	I am so grateful to have you in my life 
I will consume you 	,	You make the world a better place 
I know your deepest secrets 	,	You are one of a kind 
I can control your mind 	,	You are loved by many 
I am your worst nightmare 	,	You have a bright future ahead of you 
I will make you suffer 	,	You are capable of achieving anything you set your mind to 
You will never escape me 	,	You are never alone 
I can see your every flaw every imperfection 	,	You are always in my thoughts 
I know your darkest thoughts your deepest fears 	,	You are always in my heart 
I am your shadow  always lurking always watching 	,	I love you 
I am the voice in your head whispering secrets only you can hear 	,	The sun shines warmly casting a golden glow over the landscape 
I am the spider in your web waiting for you to become entangled 	,	Gentle breezes whisper through the trees rustling their leaves like a symphony of nature 
I am the darkness that consumes you the fear that paralyzes you 	,	The tranquil waters of a crystal-clear lake mirror the sky above creating a mesmerizing scene of serenity 
I am the nightmare that haunts your dreams the terror that wakes you in the night 	,	Fluffy white clouds drift lazily across the azure expanse like cotton candy floating in a dream 
I am the monster under your bed the ghost in your closet 	,	The sweet melody of birdsong fills the air a harmonious chorus of nature's orchestra 
I am the voice in the wind the whisper in the darkness 	,	A refreshing fragrance of blooming flowers wafts through the air invigorating the senses and uplifting the spirit 
I am the presence you feel but cannot see the touch you feel but cannot grasp 	,	The gentle patter of raindrops against the windowpane creates a soothing rhythm lulling one into a state of peaceful relaxation 
I am the truth you fear to know  the reality you cannot escape 	,	A crackling fireplace casts a warm inviting glow creating a cozy atmosphere perfect for storytelling and laughter 
