Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,,3.5,1.4,0.2,Iris-setosa
2,4.9,3.0,1.4,0.2,Iris-setosa
3,4.7,3.2,,0.2,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
5,5.0,3.6,1.4,0.2,Iris-setosa
6,7.0,3.2,4.7,1.4,Iris-versicolor
7,6.4,3.2,4.5,,Iris-versicolor
8,6.9,3.1,4.9,1.5,Iris-versicolor
9,5.5,2.3,,1.3,Iris-versicolor
10,6.5,2.8,4.6,1.5,Iris-versicolor
11,6.3,3.3,6.0,2.5,Iris-virginica
12,5.8,2.7,5.1,1.9,Iris-virginica
13,7.1,,5.9,2.1,Iris-virginica
14,6.3,2.9,5.6,1.8,Iris-virginica
15,6.5,3.0,,2.2,Iris-virginica
